N,M
1,0
101,100
201,200
301,300
401,400
501,500
601,600
701,700
801,800
901,900
1001,1000
1101,1100
1201,1200
1301,1300
1401,1400
1501,1500
1601,1600
1701,1700
1801,1800
1901,1900
2001,2000
2101,2100
2201,2200
2301,2300
2401,2400
2501,2500
2601,2600
2701,2700
2801,2800
2901,2900
3001,3000
3101,3100
3201,3200
3301,3300
3401,3400
3501,3500
3601,3600
3701,3700
3801,3800
3901,3900
4001,4000
4101,4100
4201,4200
4301,4300
4401,4400
4501,4500
4601,4600
4701,4700
4801,4800
4901,4900
5001,5000
5101,5100
5201,5200
5301,5300
5401,5400
5501,5500
5601,5600
5701,5700
5801,5800
5901,5900
6001,6000
6101,6100
6201,6200
6301,6300
6401,6400
6501,6500
6601,6600
6701,6700
6801,6800
6901,6900
7001,7000
7101,7100
7201,7200
7301,7300
7401,7400
7501,7500
7601,7600
7701,7700
7801,7800
7901,7900
8001,8000
8101,8100
8201,8200
8301,8300
8401,8400
8501,8500
8601,8600
8701,8700
8801,8800
8901,8900
9001,9000
9101,9100
9201,9200
9301,9300
9401,9400
9501,9500
9601,9600
9701,9700
9801,9800
9901,9900
